OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,COST,ASSETS,PERCENTAGE
51.53,51.84,51.45,51.68,53656100,0.0,0,QQQ,2011-01-27,0.0,0.0,0.0,0.0
51.67,51.72,50.14,50.37,123359900,0.0,0,QQQ,2011-01-28,0.0,0.0,0.0,0.0
50.44,50.76,50.06,50.62,70571300,0.0,0,QQQ,2011-01-31,19.0,958.3599999999999,958.3599999999999,1.0
51.0,51.68,50.94,51.56,76952900,0.0,0,QQQ,2011-02-01,19.0,958.3599999999999,969.0,1.0111022997620938
51.46,51.67,51.38,51.48,48661000,0.0,0,QQQ,2011-02-02,19.0,958.3599999999999,977.74,1.020222045995242
51.38,51.65,50.98,51.57,45341900,0.0,0,QQQ,2011-02-03,19.0,958.3599999999999,976.22,1.0186360031720858
51.56,51.9,51.43,51.86,47647800,0.0,0,QQQ,2011-02-04,19.0,958.3599999999999,979.6400000000001,1.0222045995241873
51.96,52.4,51.88,52.11,45627100,0.0,0,QQQ,2011-02-07,38.0,1945.6,1974.48,1.01484375
52.13,52.49,52.03,52.45,38099900,0.0,0,QQQ,2011-02-08,38.0,1945.6,1980.94,1.0181640625000001
52.37,52.53,52.2,52.36,62540800,0.0,0,QQQ,2011-02-09,38.0,1945.6,1990.06,1.0228515625
52.02,52.51,51.96,52.44,70194700,0.0,0,QQQ,2011-02-10,38.0,1945.6,1976.7600000000002,1.016015625
52.29,52.86,52.22,52.82,47853500,0.0,0,QQQ,2011-02-11,38.0,1945.6,1987.02,1.0212890625
52.82,53.02,52.77,52.95,48506100,0.0,0,QQQ,2011-02-14,56.0,2896.3599999999997,2957.92,1.0212542639727107
52.82,52.94,52.63,52.88,39723800,0.0,0,QQQ,2011-02-15,56.0,2896.3599999999997,2957.92,1.0212542639727107
53.01,53.36,52.99,53.22,53061700,0.0,0,QQQ,2011-02-16,56.0,2896.3599999999997,2968.56,1.0249278404618212
52.96,53.3,52.92,53.2,38361900,0.0,0,QQQ,2011-02-17,56.0,2896.3599999999997,2965.76,1.0239611098067922
53.2,53.3,52.88,53.08,44334300,0.0,0,QQQ,2011-02-18,56.0,2896.3599999999997,2979.2000000000003,1.0286014169509317
52.36,52.54,51.47,51.55,92598100,0.0,0,QQQ,2011-02-22,56.0,2896.3599999999997,2932.16,1.012360341946443
51.55,51.73,50.73,51.12,97842900,0.0,0,QQQ,2011-02-23,56.0,2896.3599999999997,2886.7999999999997,0.9966993053349722
51.23,51.55,50.74,51.39,98716100,0.0,0,QQQ,2011-02-24,56.0,2896.3599999999997,2868.8799999999997,0.9905122291427861
51.68,52.17,51.63,52.11,54094600,0.0,0,QQQ,2011-02-25,56.0,2896.3599999999997,2894.08,0.9992128050380479
52.32,52.47,51.91,52.22,51402800,0.0,0,QQQ,2011-02-28,75.0,3890.4399999999996,3924.0,1.0086262736348588
52.44,52.44,51.25,51.38,91993900,0.0,0,QQQ,2011-03-01,75.0,3890.4399999999996,3933.0,1.010939636647783
51.35,51.98,51.33,51.65,61552900,0.0,0,QQQ,2011-03-02,75.0,3890.4399999999996,3851.25,0.98992658928039
52.13,52.76,52.13,52.67,64146600,0.0,0,QQQ,2011-03-03,75.0,3890.4399999999996,3909.75,1.004963448864396
52.65,52.66,52.05,52.4,62328400,0.0,0,QQQ,2011-03-04,75.0,3890.4399999999996,3948.75,1.0149880219204
52.61,52.66,51.22,51.69,98470000,0.0,0,QQQ,2011-03-07,94.0,4890.03,4945.34,1.0113107690545866
51.63,52.13,51.31,51.9,62399100,0.0,0,QQQ,2011-03-08,94.0,4890.03,4853.22,0.9924724388193938
51.71,51.76,51.27,51.55,84764200,0.0,0,QQQ,2011-03-09,94.0,4890.03,4860.74,0.994010261695736
50.97,51.09,50.53,50.74,102894400,0.0,0,QQQ,2011-03-10,94.0,4890.03,4791.18,0.9797854000895702
50.45,51.21,50.45,51.06,81679400,0.0,0,QQQ,2011-03-11,94.0,4890.03,4742.3,0.9697895513933453
50.78,51.15,50.49,50.88,73565800,0.0,0,QQQ,2011-03-14,113.0,5854.849999999999,5738.14,0.9800660990460901
49.39,50.45,49.23,50.15,101276500,0.0,0,QQQ,2011-03-15,113.0,5854.849999999999,5581.07,0.9532387678591254
49.74,50.02,48.6,48.94,176507700,0.0,0,QQQ,2011-03-16,113.0,5854.849999999999,5620.62,0.9599938512515266
49.72,49.93,48.93,49.4,94434500,0.0,0,QQQ,2011-03-17,113.0,5854.849999999999,5618.36,0.9596078464862465
49.98,49.98,49.25,49.28,94887200,0.08,0,QQQ,2011-03-18,113.0,5854.849999999999,5647.74,0.9646259084348874
50.04,50.49,49.33,50.23,57423000,0.0,0,QQQ,2011-03-21,132.0,6805.61,6605.28,0.9705639905901161
50.31,50.33,50.04,50.14,36162100,0.0,0,QQQ,2011-03-22,132.0,6805.61,6640.92,0.9758008466544513
49.96,50.57,49.62,50.42,60365100,0.0,0,QQQ,2011-03-23,132.0,6805.61,6594.72,0.9690123295340168
50.81,51.43,50.52,51.32,69502400,0.0,0,QQQ,2011-03-24,132.0,6805.61,6706.92,0.985498728255072
51.48,51.79,51.35,51.45,74131100,0.0,0,QQQ,2011-03-25,132.0,6805.61,6795.36,0.9984938895999036
51.67,51.68,51.14,51.17,37824000,0.0,0,QQQ,2011-03-28,151.0,7787.34,7802.17,1.0019043729951433
51.05,51.66,50.9,51.66,47994800,0.0,0,QQQ,2011-03-29,151.0,7787.34,7708.549999999999,0.9898822961370634
51.92,51.98,51.66,51.91,44935900,0.0,0,QQQ,2011-03-30,151.0,7787.34,7839.92,1.0067519846314659
51.82,52.03,51.73,51.98,50004300,0.0,0,QQQ,2011-03-31,151.0,7787.34,7824.82,1.0048129399769368
52.24,52.41,51.85,52.01,68031800,0.0,0,QQQ,2011-04-01,151.0,7787.34,7888.240000000001,1.012956927525959
52.15,52.21,51.61,51.84,48659100,0.0,0,QQQ,2011-04-04,170.0,8778.19,8865.5,1.009946241765102
51.74,52.04,51.59,51.7,55349400,0.0,0,QQQ,2011-04-05,170.0,8778.19,8795.800000000001,1.0020061083207359
52.1,52.25,51.53,51.83,49532100,0.0,0,QQQ,2011-04-06,170.0,8778.19,8857.0,1.0089779328084718
51.81,52.14,51.42,51.79,60697000,0.0,0,QQQ,2011-04-07,170.0,8778.19,8807.7,1.003361740860018
52.03,52.11,51.28,51.55,42782200,0.0,0,QQQ,2011-04-08,170.0,8778.19,8845.1,1.00762230026919
51.75,51.85,51.19,51.38,42451700,0.0,0,QQQ,2011-04-11,189.0,9761.44,9780.75,1.001978191742202
51.14,51.27,50.82,51.02,50422800,0.0,0,QQQ,2011-04-12,189.0,9761.44,9665.460000000001,0.9901674343129703
51.4,51.59,51.05,51.46,49979800,0.0,0,QQQ,2011-04-13,189.0,9761.44,9714.6,0.9952015276434625
51.1,51.44,50.9,51.37,53544100,0.0,0,QQQ,2011-04-14,189.0,9761.44,9657.9,0.9893929584159713
51.17,51.47,50.94,51.28,68530000,0.0,0,QQQ,2011-04-15,189.0,9761.44,9671.130000000001,0.9907482912357194
50.76,50.93,50.07,50.91,69065000,0.0,0,QQQ,2011-04-18,208.0,10725.880000000001,10558.08,0.9843555959977176
51.05,51.23,50.78,51.23,38608400,0.0,0,QQQ,2011-04-19,208.0,10725.880000000001,10618.4,0.9899793769835201
52.14,52.44,52.07,52.39,67397500,0.0,0,QQQ,2011-04-20,208.0,10725.880000000001,10845.12,1.011117036550847
52.9,52.92,52.64,52.81,43666800,0.0,0,QQQ,2011-04-21,208.0,10725.880000000001,11003.199999999999,1.025855221203295
52.85,52.97,52.75,52.94,25376800,0.0,0,QQQ,2011-04-25,226.0,11677.18,11944.1,1.0228582585864052
53.08,53.43,52.96,53.24,49400000,0.0,0,QQQ,2011-04-26,226.0,11677.18,11996.08,1.0273096757950122
53.34,53.67,53.1,53.6,56465500,0.0,0,QQQ,2011-04-27,226.0,11677.18,12054.84,1.0323417126395242
53.44,53.61,53.29,53.52,48100000,0.0,0,QQQ,2011-04-28,226.0,11677.18,12077.439999999999,1.0342771114258749
53.42,53.67,53.38,53.48,44831200,0.0,0,QQQ,2011-04-29,226.0,11677.18,12072.92,1.0338900316686048
