OPEN,HIGH,LOW,CLOSE,Volume,Dividends,Stock Splits,CODES,DATES,POSITIONS,ASSETS,COST
51.53,51.84,51.45,51.68,53656100,0.0,0,QQQ,2011-01-27,0.0,0.0,0.0
51.67,51.72,50.14,50.37,123359900,0.0,0,QQQ,2011-01-28,0.0,0.0,0.0
50.44,50.76,50.06,50.62,70571300,0.0,0,QQQ,2011-01-31,10.0,504.4,504.4
51.0,51.68,50.94,51.56,76952900,0.0,0,QQQ,2011-02-01,10.0,510.0,504.4
51.46,51.67,51.38,51.48,48661000,0.0,0,QQQ,2011-02-02,10.0,514.6,504.4
51.38,51.65,50.98,51.57,45341900,0.0,0,QQQ,2011-02-03,10.0,513.8000000000001,504.4
51.56,51.9,51.43,51.86,47647800,0.0,0,QQQ,2011-02-04,10.0,515.6,504.4
51.96,52.4,51.88,52.11,45627100,0.0,0,QQQ,2011-02-07,20.0,1039.2,1024.0
52.13,52.49,52.03,52.45,38099900,0.0,0,QQQ,2011-02-08,20.0,1042.6000000000001,1024.0
52.37,52.53,52.2,52.36,62540800,0.0,0,QQQ,2011-02-09,20.0,1047.3999999999999,1024.0
52.02,52.51,51.96,52.44,70194700,0.0,0,QQQ,2011-02-10,20.0,1040.4,1024.0
52.29,52.86,52.22,52.82,47853500,0.0,0,QQQ,2011-02-11,20.0,1045.8,1024.0
52.82,53.02,52.77,52.95,48506100,0.0,0,QQQ,2011-02-14,30.0,1584.6,1552.2
52.82,52.94,52.63,52.88,39723800,0.0,0,QQQ,2011-02-15,30.0,1584.6,1552.2
53.01,53.36,52.99,53.22,53061700,0.0,0,QQQ,2011-02-16,30.0,1590.3,1552.2
52.96,53.3,52.92,53.2,38361900,0.0,0,QQQ,2011-02-17,30.0,1588.8,1552.2
53.2,53.3,52.88,53.08,44334300,0.0,0,QQQ,2011-02-18,30.0,1596.0,1552.2
52.36,52.54,51.47,51.55,92598100,0.0,0,QQQ,2011-02-22,30.0,1570.8,1552.2
51.55,51.73,50.73,51.12,97842900,0.0,0,QQQ,2011-02-23,30.0,1546.5,1552.2
51.23,51.55,50.74,51.39,98716100,0.0,0,QQQ,2011-02-24,30.0,1536.8999999999999,1552.2
51.68,52.17,51.63,52.11,54094600,0.0,0,QQQ,2011-02-25,30.0,1550.4,1552.2
52.32,52.47,51.91,52.22,51402800,0.0,0,QQQ,2011-02-28,40.0,2092.8,2075.4
52.44,52.44,51.25,51.38,91993900,0.0,0,QQQ,2011-03-01,40.0,2097.6,2075.4
51.35,51.98,51.33,51.65,61552900,0.0,0,QQQ,2011-03-02,40.0,2054.0,2075.4
52.13,52.76,52.13,52.67,64146600,0.0,0,QQQ,2011-03-03,40.0,2085.2000000000003,2075.4
52.65,52.66,52.05,52.4,62328400,0.0,0,QQQ,2011-03-04,40.0,2106.0,2075.4
52.61,52.66,51.22,51.69,98470000,0.0,0,QQQ,2011-03-07,50.0,2630.5,2601.5
51.63,52.13,51.31,51.9,62399100,0.0,0,QQQ,2011-03-08,50.0,2581.5,2601.5
51.71,51.76,51.27,51.55,84764200,0.0,0,QQQ,2011-03-09,50.0,2585.5,2601.5
50.97,51.09,50.53,50.74,102894400,0.0,0,QQQ,2011-03-10,50.0,2548.5,2601.5
50.45,51.21,50.45,51.06,81679400,0.0,0,QQQ,2011-03-11,50.0,2522.5,2601.5
50.78,51.15,50.49,50.88,73565800,0.0,0,QQQ,2011-03-14,60.0,3046.8,3109.3
49.39,50.45,49.23,50.15,101276500,0.0,0,QQQ,2011-03-15,60.0,2963.4,3109.3
49.74,50.02,48.6,48.94,176507700,0.0,0,QQQ,2011-03-16,60.0,2984.4,3109.3
49.72,49.93,48.93,49.4,94434500,0.0,0,QQQ,2011-03-17,60.0,2983.2,3109.3
49.98,49.98,49.25,49.28,94887200,0.08,0,QQQ,2011-03-18,60.0,2998.7999999999997,3109.3
50.04,50.49,49.33,50.23,57423000,0.0,0,QQQ,2011-03-21,70.0,3502.7999999999997,3609.7000000000003
50.31,50.33,50.04,50.14,36162100,0.0,0,QQQ,2011-03-22,70.0,3521.7000000000003,3609.7000000000003
49.96,50.57,49.62,50.42,60365100,0.0,0,QQQ,2011-03-23,70.0,3497.2000000000003,3609.7000000000003
50.81,51.43,50.52,51.32,69502400,0.0,0,QQQ,2011-03-24,70.0,3556.7000000000003,3609.7000000000003
51.48,51.79,51.35,51.45,74131100,0.0,0,QQQ,2011-03-25,70.0,3603.6,3609.7000000000003
51.67,51.68,51.14,51.17,37824000,0.0,0,QQQ,2011-03-28,80.0,4133.6,4126.400000000001
51.05,51.66,50.9,51.66,47994800,0.0,0,QQQ,2011-03-29,80.0,4084.0,4126.400000000001
51.92,51.98,51.66,51.91,44935900,0.0,0,QQQ,2011-03-30,80.0,4153.6,4126.400000000001
51.82,52.03,51.73,51.98,50004300,0.0,0,QQQ,2011-03-31,80.0,4145.6,4126.400000000001
52.24,52.41,51.85,52.01,68031800,0.0,0,QQQ,2011-04-01,80.0,4179.2,4126.400000000001
52.15,52.21,51.61,51.84,48659100,0.0,0,QQQ,2011-04-04,90.0,4693.5,4647.900000000001
